Day,Question,Option A,Option B,Option C,Option D,Correct Answer,Rationale
5,"What is the main purpose of the <table> element?","To create the main layout of a website.","To display data in rows and columns.","To create a list of items.","To style text.","B","Tables are specifically for presenting tabular data, like spreadsheets."
5,"Which tag defines the header content of a table?","<t-head>","<thead>","<header>","<table-header>","B","<thead> is used to group header content in an HTML table."
5,"Which tag is used to define a single row in a table?","<row>","<line>","<tr>","<td>","C","<tr> stands for 'table row'."
5,"What is the difference between <th> and <td>?","<th> is for header cells, <td> is for data cells.","<th> makes text bold, <td> makes it normal.","<th> is for the first row only, <td> is for all others.","Both A and B are correct.","D","<th> semantically defines a header and is typically bold and centered by default."
5,"Which tag contains the main body content of a table?","<main>","<t-body>","<tbody>","<content>","C","<tbody> is used to group the body content in an HTML table."
5,"How do you make a cell span across two columns?","<td colspan=""2"">","<td rowspan=""2"">","<td span=""2-col"">","<td col-span=""2"">","A","'colspan' allows a single table cell to span the width of more than one column."
5,"How do you make a cell span across two rows?","<td rowspan=""2"">","<td colspan=""2"">","<td span=""2-row"">","<td row-span=""2"">","A","'rowspan' allows a single table cell to span the height of more than one row."
5,"Which tag is used to add a caption or title to a table?","<title>","<legend>","<caption>","<t-caption>","C","The <caption> tag should be inserted immediately after the <table> tag."
5,"For a standard table, what is the correct nesting order of tags?","<table>, <tr>, <td>","<table>, <td>, <tr>","<tr>, <td>, <table>","<td>, <tr>, <table>","A","A table contains rows, and rows contain cells."
5,"Which section of a table is optional?","<thead>","<tbody>","<tr>","Both A and B","D","While <thead> and <tbody> are best practice, a simple table can be made of just <tr> and <td> elements."
5,"The <tfoot> tag is used to group...","The first row of a table.","The main content of a table.","Footer content in a table.","Form content in a table.","C","<tfoot> is used for summary rows at the bottom of a table."
5,"Is using tables for website layout a modern best practice?","Yes, it's the standard way.","No, CSS Flexbox or Grid should be used for layout instead.","Only for simple layouts.","Yes, but only with the layout=""table"" attribute.","B","Tables should be reserved for tabular data, not for page layout, for semantic and accessibility reasons."
5,"If a table row has 4 <td> elements, how many columns does that row have?","1","4","8","It depends on the <thead>.","B","Each <td> or <th> element defines a column within that row."
5,"What is the semantic purpose of <thead>?","To make the header text bold.","To group the header row(s) so they can be styled and identified by assistive technologies.","To fix the header in place when scrolling.","To add a caption.","B","It provides structural meaning, not just styling."
5,"Can a table have multiple <tbody> elements?","No, only one is allowed.","Yes, to separate different blocks of rows within a single table.","Only if it has no <thead>.","Only if it also has multiple <tfoot> elements.","B","This can be useful for styling or scripting distinct sections of table data."
5,"The 'scope' attribute on a <th> tag...","Specifies the number of columns it spans.","Specifies whether it's a header for a 'col' or a 'row'.","Sets the background color.","Restricts the table's width.","B","scope=""col"" or scope=""row"" improves table accessibility by associating header cells with data cells."
5,"Where should the <caption> tag be placed?","Inside the <thead>","Immediately after the opening <table> tag","Inside the <tbody>","At the end, before the closing </table> tag","B","The caption must be the first child of the table."
5,"If one row has a cell with colspan=""3"", and the table has 4 columns total, how many more <td> cells can you add to that specific row?","1","2","3","4","A","The cell with colspan=""3"" takes up 3 columns, leaving space for 1 more in a 4-column table."
5,"What happens if your rows have an inconsistent number of cells?","The table breaks and won't display.","The browser will automatically add empty cells.","The table layout can become skewed and misaligned.","An error is shown in the console.","C","Browsers try to render it, but the result is usually not what you intended."
5,"Which of these is NOT a table-related element?","<tr>","<th>","<tsection>","<td>","C","<tsection> is not a valid HTML tag."
6,"What is 'Semantic HTML'?","Using HTML to create a specific visual look.","A special version of HTML for search engines.","Using HTML tags that accurately describe the meaning and structure of the content.","Using as few tags as possible.","C","Semantic tags like <article> and <nav> tell browsers and developers what the content *is*, not just how it looks."
6,"Which element is best suited for wrapping the main navigation links of a site?","<header>","<div>","<nav>","<menu>","C","<nav> is the semantic tag specifically for major navigation blocks."
6,"What is the difference between a <div> and a <section>?","There is no difference.","A <section> is for grouping distinct sections of a document, while a <div> is a generic, non-semantic container.","A <div> can have a heading, a <section> cannot.","A <section> can only be used once per page.","B","Use <section> when the content inside has a common theme and could have its own heading."
